transaction_cost_bps,slippage_bps,annual_borrow_cost,total_return,annualized_return,sharpe_ratio,maximum_drawdown,final_equity,total_cost,number_of_trades,is_baseline
20.0,5.0,0.05,-0.0662972510892712,-0.03063749692774298,-0.5458448427842683,-0.15238864873934266,93370.27489107288,10047.417046071378,0,False
20.0,5.0,0.1,-0.09185616852445733,-0.04339207422456126,-0.777801279632742,-0.16911797710577958,90814.38314755427,12656.94209792911,0,False
20.0,10.0,0.0,-0.05387788839857399,-0.024488517269070753,-0.4326781351420952,-0.14396405501810483,94612.2111601426,8777.129081634554,0,False
20.0,10.0,0.02,-0.06432250720148502,-0.02964291038403344,-0.5250979380682677,-0.15076186012650739,93567.7492798515,9843.399859557696,0,False
20.0,10.0,0.05,-0.07977453259717004,-0.037323681022484734,-0.6636576387354729,-0.1608580972793333,92022.546740283,11420.954216799664,0,False
20.0,10.0,0.1,-0.10496523864143137,-0.04999062915481789,-0.8943090626938746,-0.17742072835292055,89503.47613585686,13992.993858389062,0,False
30.0,0.0,0.0,-0.05387788839857366,-0.024488517269070753,-0.4326781351420891,-0.1439640550181044,94612.21116014263,8777.129081634554,0,False
30.0,0.0,0.02,-0.06432250720148436,-0.02964291038403344,-0.5250979380682649,-0.15076186012650716,93567.74927985156,9843.399859557698,0,False
30.0,0.0,0.05,-0.0797745325971696,-0.037323681022484734,-0.6636576387354715,-0.16085809727933287,92022.54674028304,11420.954216799666,0,False
30.0,0.0,0.1,-0.10496523864143137,-0.04999062915481789,-0.8943090626938742,-0.17742072835292055,89503.47613585686,13992.993858389062,0,False
30.0,2.0,0.0,-0.059365966113732904,-0.02718545602974287,-0.47982621999301855,-0.14739682913536534,94063.40338862671,9336.430123392154,0,False
30.0,2.0,0.02,-0.06975011828038502,-0.032325655420660016,-0.5720197238233264,-0.1541674509312665,93024.9881719615,10396.545810011961,0,False
30.0,2.0,0.05,-0.08511268541751793,-0.039985274859303255,-0.7102365469836464,-0.1642233137518907,91488.7314582482,11964.9934799582,0,False
30.0,2.0,0.1,-0.11015754555370261,-0.052617339461848434,-0.9403080691029326,-0.18071970875630594,88984.24544462973,14522.185102675025,0,False
30.0,5.0,0.0,-0.06754049235502213,-0.03121694573715139,-0.5499657672780269,-0.15252148002109067,93245.95076449779,10169.514309456355,0,False
30.0,5.0,0.02,-0.07783457784496994,-0.036335927502838206,-0.6417956578528293,-0.15925152039376145,92216.54221550301,11220.461685913455,0,False
30.0,5.0,0.05,-0.09306389453177677,-0.04396392886931444,-0.7794620820778647,-0.16924710918986596,90693.61054682232,12775.344499706964,0,False
30.0,5.0,0.1,-0.11789151338350701,-0.05654384750320107,-1.0086041179791234,-0.18564462172641205,88210.8486616493,15310.419274381617,0,False
30.0,10.0,0.0,-0.08101250815153627,-0.03789914888079282,-0.6651627199529555,-0.1609975967653643,91898.74918484637,11542.48195668561,0,False
30.0,10.0,0.02,-0.09115815611330425,-0.04298296161513071,-0.7563248624113662,-0.1676605144617529,90884.18438866957,12578.318817560645,0,False
30.0,10.0,0.05,-0.10616786481466678,-0.050558554816421686,-0.8929818289897808,-0.17755640855395505,89383.21351853332,14110.845063456334,0,False
30.0,10.0,0.1,-0.13063745187448828,-0.06305203953055294,-1.1204225757894033,-0.19379036713720943,86936.25481255117,16609.468531363465,0,False
