Date,SEB-A.ST,SHB-A.ST,AZN.ST,ERIC-B.ST,SAND.ST
2018-10-15,58.297603607177734,54.46024703979492,660.7302856445312,59.1810188293457,112.89803314208984
2018-10-16,58.86274337768555,55.03433609008789,675.9036865234375,61.633544921875,115.8764419555664
2018-10-17,58.109222412109375,54.355857849121094,687.1358032226562,62.51516342163086,115.43370056152344
2018-10-18,56.928707122802734,53.52082443237305,690.7814331054688,66.37828826904297,114.06526184082031
2018-10-19,57.74502182006836,54.27757263183594,697.678466796875,68.0774154663086,109.71836853027344
2018-10-22,57.00404739379883,53.67738723754883,697.579833984375,67.05152893066406,109.23538208007812
2018-10-23,56.53938674926758,53.23377990722656,697.579833984375,65.56078338623047,108.91338348388672
2018-10-24,56.66496276855469,52.9206428527832,696.98876953125,65.32032775878906,108.5511474609375
2018-10-25,58.73715591430664,52.711883544921875,679.0565185546875,63.717384338378906,111.36857604980469
2018-10-26,58.25992965698242,51.96034240722656,670.7801513671875,63.07619094848633,108.95365142822266
2018-10-29,58.27248764038086,52.09604263305664,685.165283203125,63.364715576171875,112.53579711914062
2018-10-30,58.988338470458984,51.96034240722656,692.7517700195312,63.50898361206055,114.22623443603516
2018-10-31,59.503238677978516,51.94990539550781,700.4371948242188,63.94179153442383,116.64117431640625
2018-11-01,59.18927001953125,51.782901763916016,682.2094116210938,64.16619873046875,115.5544662475586
2018-11-02,59.64139175415039,52.15866470336914,684.1801147460938,64.91959381103516,117.36564636230469
2018-11-05,59.55347442626953,51.91858673095703,695.5108032226562,64.96766662597656,115.59471130371094
2018-11-06,59.32741928100586,51.876834869384766,682.2094116210938,64.85546875,115.5544662475586
2018-11-07,59.490684509277344,52.26826477050781,691.569580078125,65.51268005371094,114.95072937011719
2018-11-08,59.85487365722656,52.555301666259766,717.6796264648438,65.48062896728516,114.50798797607422
2018-11-09,59.69162368774414,52.52922058105469,726.9412231445312,65.59284210205078,111.61006927490234
2018-11-12,59.23950958251953,52.03340148925781,733.7396850585938,64.35856628417969,110.12086486816406
2018-11-13,59.478126525878906,52.29436492919922,743.6911010742188,64.91959381103516,110.44285583496094
2018-11-14,58.762271881103516,51.563697814941406,741.6219482421875,62.22663497924805,109.03413391113281
2018-11-15,58.17202377319336,50.69734573364258,728.5177612304688,61.28089904785156,108.18892669677734
2018-11-16,58.86274337768555,50.9687385559082,718.6649169921875,61.681640625,108.91338348388672
2018-11-19,58.624122619628906,50.624271392822266,712.55615234375,60.84809494018555,107.50467681884766
2018-11-20,57.1296501159668,49.72660827636719,724.57666015625,59.1329345703125,105.37150573730469
2018-11-21,57.267784118652344,49.8414306640625,716.10302734375,59.501625061035156,107.34368896484375
2018-11-22,56.891029357910156,49.8414306640625,706.1517944335938,58.603965759277344,105.37150573730469
2018-11-23,56.878475189208984,49.90406036376953,722.1134033203125,60.89618682861328,105.29100036621094
2018-11-26,58.0841064453125,50.446834564208984,714.6251220703125,61.24883270263672,107.58518981933594
2018-11-27,59.32741928100586,51.88726806640625,708.2208862304688,60.4152946472168,104.84825897216797
2018-11-28,59.365089416503906,51.84552001953125,711.373779296875,60.84809494018555,104.8080062866211
2018-11-29,59.67906188964844,52.450931549072266,713.4428100585938,60.8160400390625,108.4303970336914
2018-11-30,59.52836227416992,52.320457458496094,712.3590698242188,60.84809494018555,108.67190551757812
2018-12-03,59.42789077758789,52.477027893066406,710.78271484375,63.02811050415039,109.87935638427734
2018-12-04,58.66181182861328,52.13779067993164,711.373779296875,61.553401947021484,108.95365142822266
2018-12-05,57.71989059448242,51.55326461791992,693.4417114257812,60.3030891418457,106.73995208740234
2018-12-06,55.82353591918945,49.96669006347656,682.1109619140625,61.39308547973633,101.50759887695312
2018-12-07,56.740318298339844,50.84347915649414,682.4065551757812,63.47694396972656,101.70884704589844
2018-12-10,55.94911575317383,50.112815856933594,684.278564453125,63.04414367675781,99.05242919921875
2018-12-11,56.37611770629883,51.3236198425293,698.466552734375,64.35856628417969,101.58810424804688
2018-12-12,57.770145416259766,52.97283172607422,700.9297485351562,66.41036224365234,103.88228607177734
2018-12-13,55.74818420410156,53.5991096496582,698.9594116210938,66.28209686279297,104.12377166748047
2018-12-14,55.38397979736328,53.703487396240234,695.8062133789062,65.8813705444336,103.35905456542969
2018-12-17,55.27095413208008,53.52082443237305,689.0079345703125,65.12798309326172,102.47357940673828
2018-12-18,55.07001495361328,53.546913146972656,685.7564697265625,64.64708709716797,103.27855682373047
2018-12-19,55.37141418457031,53.52082443237305,683.9830932617188,64.48680114746094,102.5540771484375
2018-12-20,54.71836853027344,52.216068267822266,678.859375,63.06017303466797,101.22586059570312
2018-12-21,54.040199279785156,50.770416259765625,675.115478515625,62.46706771850586,100.50138092041016
2018-12-27,53.28667449951172,50.33201217651367,652.0596923828125,60.43130874633789,100.50138092041016
2018-12-28,54.06531524658203,51.30275344848633,663.7847290039062,62.451045989990234,101.70884704589844
2019-01-02,54.14066696166992,51.511512756347656,667.6273193359375,61.825889587402344,101.22586059570312
2019-01-03,54.55510711669922,51.55326461791992,684.278564453125,60.07868576049805,98.77069091796875
2019-01-04,56.099822998046875,52.60749816894531,691.9637451171875,61.52132797241211,104.32502746582031
2019-01-07,55.05746078491211,52.04384994506836,682.8991088867188,62.6113395690918,105.45198822021484
