data_segment,lookback_window,entry_threshold,exit_threshold,stop_threshold,total_return,annualized_return,sharpe_ratio,maximum_drawdown,number_of_trades,total_cost
test,20,2.0,1.0,3.5,0.12962508334335343,0.06263623619463043,0.8374084120345826,-0.03724099417958815,27,4735.117392787826
test,20,2.0,1.0,4.0,0.12962508334335343,0.06263623619463043,0.8374084120345826,-0.03724099417958815,27,4735.117392787826
test,20,2.5,0.0,3.0,0.12079332171695478,0.05850893810409219,0.8073299006790665,-0.04223102529539102,16,3035.0068608570937
test,20,2.5,0.0,3.5,0.10610065404921687,0.05190814107174968,0.7124568298776528,-0.043547329049727024,14,2736.4530474365774
test,20,2.5,0.0,4.0,0.10610065404921687,0.05190814107174968,0.7124568298776528,-0.043547329049727024,14,2736.4530474365774
test,20,2.5,0.5,3.0,0.09901070782041277,0.04831350838588988,0.7165073118791496,-0.03946624117549369,16,2855.836050023243
test,20,2.5,0.5,3.5,0.08460359209228385,0.0417760391316242,0.615561681703902,-0.03946624117549369,14,2559.9515895874683
test,20,2.5,0.5,4.0,0.08460359209228385,0.0417760391316242,0.615561681703902,-0.03946624117549369,14,2559.9515895874683
test,20,2.5,1.0,3.0,0.0676527490774339,0.03383329913387234,0.5165178627097818,-0.038380016501852854,16,2707.0417974011434
test,20,2.5,1.0,3.5,0.05365671009077144,0.027385776282821572,0.4152454508272168,-0.038380016501852854,14,2417.3762810979674
test,20,2.5,1.0,4.0,0.05365671009077144,0.027385776282821572,0.4152454508272168,-0.038380016501852854,14,2417.3762810979674
test,40,1.5,0.0,3.0,0.15721307164375942,0.07661840389123076,0.8055716591779761,-0.0685922173107143,26,5381.892181168656
test,40,1.5,0.0,3.5,0.1711938025137456,0.08285605272728058,0.8639563515592775,-0.06464508522767787,20,4582.31515961353
test,40,1.5,0.0,4.0,0.1695841796923554,0.08214458595360741,0.8569064196144929,-0.06464508522767787,19,4435.660899381879
test,40,1.5,0.5,3.0,0.24548905459235493,0.11437857938064622,1.2788684039955387,-0.071431502145056,32,6336.4065504962655
test,40,1.5,0.5,3.5,0.2605362811580181,0.12083411523891541,1.338783175828418,-0.062306952210231414,26,5476.616674149059
test,40,1.5,0.5,4.0,0.2588038710641578,0.12009779650888674,1.3312059959845417,-0.06359566474093448,25,5318.002857504072
test,40,1.5,1.0,3.0,0.1594348307414697,0.07576513343742985,1.0381092531387097,-0.052237853899358755,36,6282.842070947237
test,40,1.5,1.0,3.5,0.17899379763308776,0.0844400293703822,1.141401609324347,-0.04292469816727218,29,5298.099526932523
test,40,1.5,1.0,4.0,0.1773734549375634,0.08372752601108702,1.1323331728662531,-0.044240048576668634,28,5146.156466168704
test,40,2.0,0.0,3.0,0.13900740913274356,0.06803907613627391,0.7583802838986115,-0.07793544808998387,20,4106.276106910927
test,40,2.0,0.0,3.5,0.14956570793872626,0.07280104008187616,0.8048620383136291,-0.06887480898099918,15,3422.741586127303
test,40,2.0,0.0,4.0,0.14798580955280927,0.07209615364748223,0.797423240015153,-0.07015449501914162,14,3277.353495262644
test,40,2.0,0.5,3.0,0.17533660440254395,0.08358167285577855,0.9989693514320097,-0.07408530786771061,22,4325.319345307451
test,40,2.0,0.5,3.5,0.18623166528396395,0.08841265750409422,1.0471280283566844,-0.0649868354736266,17,3619.46044861372
test,40,2.0,0.5,4.0,0.18460137527064746,0.08769755440504579,1.0391342592397443,-0.06627186492365578,16,3469.0242417013606
test,40,2.0,1.0,3.0,0.1032661134651931,0.05033599082099949,0.7317659844825428,-0.05821929891879729,24,4167.141354262432
test,40,2.0,1.0,3.5,0.11876088209183644,0.057400851888798066,0.8230550020305137,-0.048964919673192164,18,3325.8603797325777
test,40,2.0,1.0,4.0,0.1172233201241859,0.05670604433185322,0.8135202232021381,-0.050271968742228834,17,3180.805555500204
test,40,2.5,0.0,3.0,0.0358903735967937,0.018895128863572586,0.30295068597472186,-0.0623114858132654,15,2744.727973540719
test,40,2.5,0.0,3.5,0.12195814289036933,0.0593715704234723,0.770720081617379,-0.062311485813265066,11,2470.6832743667505
test,40,2.5,0.0,4.0,0.12041618678748889,0.05867547306881837,0.7620573932125053,-0.062311485813265066,10,2321.4608546256804
test,40,2.5,0.5,3.0,0.05312084419765584,0.026535968120956044,0.4772099536038981,-0.053351067331529056,15,2644.3742961070125
